observer,date,site,start_time,end_time,time_of_capture,body_temperature_c,microhabitat_type,microhabitat_temperature_c,species_capture,life_stage,sex,bd_swab_tube_id,dry_swab_tube_id,crispr_swab_tube_id,bacterial_swab_tube_id,mucusome_id,amp_id_1,amp_id_2,amp_id_3,amp_id_4,antibody_id_1,antibody_id_2,antibody_id_3,antibody_id_4,toe_clip_tube_id,capture_comments,survey_time,detection_type,temp_cap_id
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:03:00,19.2,water,18.8,Rana catesbeiana,NA,NA,2022-05-19 admin raca#24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,1
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,21:08:00,18.2,emergent vegetation (lower than 1m),18.4,Pseudacris crucifer,adult,male,2022-05-19-admin-pscr6,NA,NA,2022-05-19-admin-pscr6,2022-05-19-admin-pscr6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,2
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:09:00,18.3,tree/log/bush (lower than 1m),17.5,Rana pipiens,NA,NA,2022-05-19 admin rapi#27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,3
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,21:11:00,18.2,emergent vegetation (lower than 1m),18.2,Pseudacris crucifer,adult,male,2022-05-19-admin-pscr5,NA,NA,2022-05-19-admin-pscr5,2022-05-19-admin-pscr5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,4
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:12:00,18,water,17.9,Rana catesbeiana,NA,NA,2022-05-19 admin raca#19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,5
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:17:00,18.2,water,18.2,Rana catesbeiana,juvenile,unknown,2022-05-18-admin-raca10,NA,NA,2022-05-18-admin-raca10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,6
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,21:18:00,18.2,tree/log/bush (lower than 1m),18.2,Pseudacris crucifer,adult,male,2022-05-19-admin-pscr4,NA,NA,2022-05-19-admin-pscr4,2022-05-19-admin-pscr4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,7
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:21:00,18.2,water,18.3,Rana catesbeiana,juvenile,unknown,2022-05-19 admin raca#15,NA,NA,2022-05-19 admin raca#15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,8
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:25:00,18.1,water,18,Rana pipiens,NA,NA,2022-05-19 admin rapi#29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,9
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:28:00,18.3,water,18.3,Rana catesbeiana,NA,NA,2022-05-19 admin raca#26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,10
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:32:00,17.8,water,18,Rana pipiens,adult,female,2022-08-15-admin-rapi3,NA,NA,2022-08-15-admin-rapi3,2022-08-15-admin-rapi3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,11
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,21:34:00,19.4,water,19.7,Rana catesbeiana,NA,NA,2022-05-19 admin raca#22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,12
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:37:00,17.6,water,17.8,Rana pipiens,adult,female,2022-05-19-admin-rapi1,NA,NA,2022-05-19-admin-rapi1,2022-05-19-admin-rapi1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,13
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,21:43:00,20.1,water,20.4,Rana catesbeiana,adult,female,2022-05-19-admin-raca8,NA,NA,2022-05-19-admin-raca8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,14
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:45:00,17.7,water,17.8,Rana catesbeiana,NA,NA,NA,NA,NA,2022-05-19 admin raca#23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,15
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,21:47:00,18.6,wet ground,18.8,Rana pipiens,adult,female,2022-08-19-admin-rapi2,NA,NA,2022-08-19-admin-rapi2,2022-08-19-admin-rapi2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,16
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:48:00,17.9,water,18.1,Rana catesbeiana,NA,NA,2022-05-19 admin raca#25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,17
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:52:00,18.2,water,18.3,Rana catesbeiana,juvenile,unknown,2022-05-19 admin raca#17,NA,NA,2022-05-19 admin raca#17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,18
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:55:00,18.2,water,18.3,Rana catesbeiana,NA,NA,2022-05-19 admin raca#21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,19
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:03:00,18.4,water,18.5,Rana catesbeiana,NA,NA,2022-05-19 admin racA#20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,20
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,22:20:00,19.4,water,19.6,Rana catesbeiana,juvenile,unknown,2022-05-19-admin-raca9,NA,NA,2022-05-19-admin-raca9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,21
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:21:00,17.9,emergent vegetation (higher than 1m),18.2,Rana pipiens,NA,NA,2022-05-19 admin rapi#28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,22
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:24:00,18.2,water,18.3,Rana catesbeiana,NA,NA,2022-05-19 admin raca#18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,23
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:31:00,18.1,water,18.5,Rana catesbeiana,adult,female,2022-05-19 admin raca#11,NA,NA,2022-05-19 admin raca#11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,24
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:34:00,18.1,water,18.4,Rana catesbeiana,juvenile,unknown,2022-05-19 admin raca#12,NA,NA,2022-05-19 admin raca#12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,25
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:37:00,18,water,18.1,Rana catesbeiana,juvenile,unknown,2022-05-19 admin raca #16,NA,NA,2022-05-19 admin raca #16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,26
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,22:40:00,19.4,water,19.7,Rana catesbeiana,juvenile,unknown,2022-05-19 admin #13,NA,NA,2022-05-19 admin #13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,27
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:41:00,17.7,emergent vegetation (lower than 1m),17.7,Rana catesbeiana,juvenile,unknown,2022-05-18-admin-raca7,NA,NA,2022-05-18-admin-raca7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,28
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,22:57:00,18.4,water,18.6,Rana catesbeiana,juvenile,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,29
brandon hoenig,2022-05-20T00:00:00Z,admin pond,13:29:00,14:37:00,13:30:00,NA,dry ground,21.7,Bufo americanus,NA,unknown,2022-05-20 admin buam#6,NA,NA,2022-05-20 admin buam#6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,capture,30
emily jolly,2022-05-20T00:00:00Z,admin pond,13:28:00,14:37:00,13:36:00,NA,leaf litter,19.8,Bufo americanus,NA,unknown,2022-05-20 admin Buam#3,NA,NA,2022-05-20 admin Buam#3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,capture,31
emily jolly,2022-05-20T00:00:00Z,admin pond,13:28:00,14:37:00,13:41:00,NA,leaf litter,20,Pseudacris crucifer,adult,unknown,2022-05-20-admin-pscr1,NA,NA,2022-05-20-admin-pscr1,2022-05-20-admin-pscr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,capture,32
emily jolly,2022-05-20T00:00:00Z,admin pond,13:28:00,14:37:00,13:53:00,NA,leaf litter,18.9,Bufo americanus,adult,unknown,2022-05-20 admin buam#2,NA,NA,2022-05-20 admin buam#2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,capture,33
brandon hoenig,2022-05-20T00:00:00Z,admin pond,13:29:00,14:37:00,14:15:00,23.4,dry ground,24,Bufo americanus,NA,unknown,2022-05-20 admin buam#5,NA,NA,2022-05-20 admin buam#5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,capture,34
brandon hoenig,2022-05-20T00:00:00Z,admin pond,13:29:00,14:37:00,14:18:00,22.4,dry ground,23,Bufo americanus,NA,unknown,2022-05-20 admin buam#4,NA,NA,2022-05-20 admin buam#4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,capture,35
emily jolly,2022-06-07T00:00:00Z,rv pond,21:22:00,23:22:00,21:53:00,NA,water,18.7,Rana catesbeiana,adult,female,BdSwab000067,NA,NA,BacSwab00067,MucBath00015,AMPBath00016,AMPBath00017,AMPBath00000,AMPBath00000,AntiBod00016,AntiBod00017,NA,NA,ToeClip00014,NA,night,capture,36
myah madril,2022-06-07T00:00:00Z,rv pond,21:22:00,02:12:00,22:14:00,13.9,tree/log/bush (lower than 1m),14.7,Hyla versicolor,NA,NA,BdSwab000072,NA,NA,BacSwab00072,MucBath00020,AMPBath00024,AMPBath00000,NA,NA,AntiBod00024,AntiBod00000,NA,NA,ToeClip00000,NA,night,capture,37
myah madril,2022-06-07T00:00:00Z,rv pond,21:22:00,02:12:00,22:19:00,12.9,tree/log/bush (higher than 1m),13.2,Hyla versicolor,NA,NA,BdSwab000070,NA,NA,BacSwab00070,MucBath00018,AMPBath00022,NA,NA,NA,AntiBod00022,NA,NA,NA,NA,NA,night,capture,38
brandon hoenig,2022-06-07T00:00:00Z,rv pond,21:25:00,23:07:00,22:35:00,16.9,emergent vegetation (lower than 1m),18.6,Rana catesbeiana,NA,NA,BdSwab000068,NA,NA,BacSwab00068,MucBath00016,AMPBath00018,AMPBath00019,NA,NA,AntiBod00018,AntiBod00019,NA,NA,ToeClip00015,NA,night,capture,39
brandon hoenig,2022-06-07T00:00:00Z,rv pond,21:25:00,23:07:00,22:49:00,17.3,emergent vegetation (lower than 1m),NA,Rana catesbeiana,NA,NA,BdSwab000069,NA,NA,BacSwab00069,MucBath00017,AMPBath00020,AMPBath00021,NA,NA,AntiBod00020,AntiBod00021,NA,NA,NA,NA,night,capture,40
emily jolly,2022-06-07T00:00:00Z,rv pond,21:22:00,23:22:00,23:00:00,NA,water,16.3,Rana clamitans,NA,NA,BdSwab000073,NA,NA,BacSwab00073,MucBath00021,AMPBath00026,NA,NA,NA,AntiBod00026,NA,NA,NA,NA,NA,night,capture,41
emily jolly,2022-06-07T00:00:00Z,rv pond,21:22:00,23:22:00,23:03:00,NA,water,16.4,Rana clamitans,NA,NA,BdSwab000074,NA,NA,BacSwab00074,MucBath00022,AMPBath00027,NA,NA,NA,AntiBod00027,NA,NA,NA,NA,NA,night,capture,42
myah madril,2022-06-07T00:00:00Z,rv pond,21:22:00,02:12:00,23:05:00,11.7,tree/log/bush (higher than 1m),11.2,Hyla versicolor,NA,NA,BdSwab000071,NA,NA,BacSwab00071,MucBath00019,AMPBath00023,NA,NA,NA,AntiBod00023,NA,NA,NA,NA,NA,night,capture,43
sydney dawson,2022-06-08T00:00:00Z,rv pond,21:11:00,22:02:00,21:16:00,16.3,tree/log/bush (higher than 1m),16.4,Hyla versicolor,adult,male,BdSwab000086,NA,NA,BacSwab00086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,44
emily jolly,2022-06-08T00:00:00Z,rv pond,21:11:00,22:02:00,21:32:00,19.7,water,19.8,Rana catesbeiana,adult,female,BdSwab000092,NA,NA,BacSwab00092,MucBath00031,AMPBath00031,NA,NA,NA,AntiBod00031,NA,NA,NA,ToeClip00023,NA,night,capture,45
emily jolly,2022-06-08T00:00:00Z,rv pond,21:11:00,22:02:00,21:35:00,19,emergent vegetation (higher than 1m),18.5,Hyla versicolor,adult,male,BdSwab000084,NA,NA,BacSwab00084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,46
brandon hoenig,2022-06-08T00:00:00Z,rv pond,21:11:00,22:02:00,21:36:00,19.4,emergent vegetation (higher than 1m),17.6,Rana catesbeiana,adult,female,BdSwab00089,NA,NA,BacSwab00089,MucBath00028,AMPBath00028,NA,NA,NA,AntiBod00028,NA,NA,NA,ToeClip00020,NA,night,capture,47
emily jolly,2022-06-08T00:00:00Z,rv pond,21:11:00,22:02:00,21:38:00,18.3,emergent vegetation (higher than 1m),18.2,Hyla versicolor,adult,male,BdSwab000087,NA,NA,BacSwab00087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,48
sydney dawson,2022-06-08T00:00:00Z,rv pond,21:11:00,22:02:00,21:41:00,21.4,water,21.2,Rana catesbeiana,adult,female,BdSwab000090,NA,NA,BacSwab00090,MucBath00029,AMPBath00029,NA,NA,NA,AntiBod00029,NA,NA,NA,ToeClip00021,NA,night,capture,49
myah madril,2022-06-08T00:00:00Z,rv pond,21:11:00,22:03:00,21:47:00,17.2,tree/log/bush (higher than 1m),17.1,Hyla versicolor,adult,male,BdSwab000083,NA,NA,BacSwab00083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,50
emily jolly,2022-06-08T00:00:00Z,rv pond,21:11:00,22:02:00,21:47:00,19.1,water,19.2,Rana clamitans,adult,female,BdSwab000088,NA,NA,BacSwab00088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,51
brandon hoenig,2022-06-08T00:00:00Z,rv pond,21:11:00,22:02:00,21:49:00,19.4,emergent vegetation (lower than 1m),20,Rana catesbeiana,adult,female,BdSwab000091,NA,NA,BacSwab00091,MucBath00030,AMPBath00030,NA,NA,NA,AntiBod00030,NA,NA,NA,ToeClip00022,NA,night,capture,52
sydney dawson,2022-06-08T00:00:00Z,rv pond,21:11:00,22:02:00,21:52:00,16.1,tree/log/bush (higher than 1m),17.2,Hyla versicolor,adult,male,BdSwab000085,NA,NA,BacSwab00085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,53
emily jolly,2022-06-08T00:00:00Z,rv pond,21:11:00,22:02:00,21:55:00,18.5,water,NA,Rana catesbeiana,adult,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,54
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,21:35:00,22:47:00,21:41:00,21.4,wet ground,21.2,Rana clamitans,adult,male,BdSwab00116,NA,NA,BacSwab00116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,55
emily jolly,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,21:50:00,23.4,emergent vegetation (lower than 1m),23.5,Rana clamitans,adult,female,BdSwab00117,NA,NA,BacSwab00117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,56
sydney dawson,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,21:51:00,NA,water,NA,Rana catesbeiana,juvenile,unknown,BDSwab00100,NA,NA,BacSwab00100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,57
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,21:35:00,22:47:00,21:52:00,21.6,tree/log/bush (higher than 1m),21.7,Hyla versicolor,adult,male,BdSwab00108,NA,NA,BacSwab00108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,58
emily jolly,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,21:53:00,23.6,tree/log/bush (lower than 1m),23.6,Hyla versicolor,adult,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,59
myah madril,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:46:00,21:54:00,21.4,tree/log/bush (higher than 1m),22.4,Hyla versicolor,adult,male,BdSwab00112,NA,NA,BacSwab00112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,60
emily jolly,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,21:55:00,23.8,tree/log/bush (lower than 1m),23.6,Hyla versicolor,adult,male,BdSwab00110,NA,NA,BacSwab00110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,61
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,21:35:00,22:47:00,21:58:00,23.5,water,23.7,Rana clamitans,adult,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,62
emily jolly,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,22:00:00,24,water,24.1,Rana clamitans,adult,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,63
emily jolly,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,22:03:00,23.9,water,24.2,Rana catesbeiana,juvenile,unknown,BDSwab00104,NA,NA,BacSwab00104,MucBath00035,AMPBath00035,NA,NA,NA,AntiBod00035,NA,NA,NA,ToeClip00037,NA,night,capture,64
myah madril,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:46:00,22:03:00,24.1,water,24,Rana catesbeiana,adult,female,BDSwab00093,NA,NA,BacSwab00093,NA,NA,NA,NA,NA,NA,NA,NA,NA,ToeClip00038,NA,night,capture,65
sydney dawson,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,22:04:00,NA,tree/log/bush (lower than 1m),NA,Hyla versicolor,adult,male,BdSwab00111,NA,NA,BacSwab00111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,66
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,21:35:00,22:47:00,22:06:00,23.1,water,22.4,Rana catesbeiana,juvenile,unknown,BDSwab00103,NA,NA,BacSwab00103,MucBath00034,AMPBath00034,NA,NA,NA,AntiBod00034,NA,NA,NA,ToeClip00026,NA,night,capture,67
sydney dawson,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,22:08:00,NA,tree/log/bush (lower than 1m),NA,Rana catesbeiana,juvenile,unknown,BDSwab00107,NA,NA,BacSwab00107,NA,NA,NA,NA,NA,NA,NA,NA,NA,ToeClip00034,NA,night,capture,68
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,21:35:00,22:47:00,22:10:00,22.4,water,22.9,Rana clamitans,adult,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,69
emily jolly,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,22:10:00,24.3,water,24.4,Rana catesbeiana,adult,male,BDSwab00098,NA,NA,BacSwab00098,NA,NA,NA,NA,NA,NA,NA,NA,NA,ToeClip00029,NA,night,capture,70
myah madril,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:46:00,22:12:00,23.6,water,24.2,Rana clamitans,adult,male,BdSwab00113,NA,NA,BacSwab00113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,71
myah madril,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:46:00,22:22:00,24.6,tree/log/bush (lower than 1m),24.4,Rana catesbeiana,adult,female,BDSwab00095,NA,NA,BacSwab00095,NA,NA,NA,NA,NA,NA,NA,NA,NA,ToeClip00025,NA,night,capture,72
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,21:35:00,22:47:00,22:23:00,24.7,water,24.2,Rana clamitans,adult,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,73
emily jolly,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,22:27:00,23.4,water,23.3,Rana clamitans,adult,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,74
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,21:35:00,22:47:00,22:27:00,21.4,wet ground,21.2,Rana clamitans,adult,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,75
myah madril,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:46:00,22:31:00,24.1,water,24,Rana clamitans,adult,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,76
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,21:35:00,22:47:00,22:31:00,22.4,water,22.1,Rana catesbeiana,juvenile,unknown,BDSwab00097,NA,NA,BacSwab00097,NA,NA,NA,NA,NA,NA,NA,NA,NA,ToeClip00036,NA,night,capture,77
emily jolly,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,22:32:00,23.4,water,23.5,Rana clamitans,adult,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,78
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,21:35:00,22:47:00,22:37:00,20.9,wet ground,20.6,Rana clamitans,adult,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,79
sydney dawson,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,22:41:00,NA,tree/log/bush (higher than 1m),NA,Hyla versicolor,adult,male,BdSwab00109,NA,NA,BacSwab00109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,80
emily jolly,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,22:41:00,23.6,water,23.8,Rana catesbeiana,juvenile,unknown,BDSwab00106,NA,NA,BacSwab00106,NA,NA,NA,NA,NA,NA,NA,NA,NA,ToeClip00032,NA,night,capture,81
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,21:35:00,22:47:00,22:42:00,21.6,wet ground,21.3,Rana catesbeiana,adult,male,BDSwab00094,NA,NA,BacSwab00094,NA,NA,NA,NA,NA,NA,NA,NA,NA,ToeClip00031,NA,night,capture,82
myah madril,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:46:00,22:43:00,24.1,tree/log/bush (lower than 1m),24.1,Rana catesbeiana,adult,female,BDSwab00105,NA,NA,BacSwab00105,MucBath00036,AMPBath00036,NA,NA,NA,AntiBod00036,NA,NA,NA,ToeClip00035,NA,night,capture,83
emily jolly,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,22:43:00,23.7,water,23.9,Rana catesbeiana,juvenile,unknown,BDSwab00101,NA,NA,BacSwab00101,MucBath00032,AMPBath00032,NA,NA,NA,AntiBod00032,NA,NA,NA,ToeClip00027,NA,night,capture,84
sydney dawson,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,22:46:00,NA,wet ground,NA,Rana clamitans,adult,female,BdSwab00115,NA,NA,BacSwab00115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,85
emily jolly,2022-06-14T00:00:00Z,tuttle pond,23:01:00,23:28:00,23:07:00,23,tree/log/bush (lower than 1m),23,Hyla versicolor,adult,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,86
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,22:59:00,23:29:00,23:08:00,23.7,water,23.2,Rana clamitans,adult,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,87
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,22:59:00,23:29:00,23:11:00,23.7,water,22.8,Rana clamitans,adult,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,88
myah madril,2022-06-14T00:00:00Z,tuttle pond,23:01:00,23:28:00,23:11:00,24.5,water,24.8,Rana clamitans,adult,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,89
emily jolly,2022-06-14T00:00:00Z,tuttle pond,23:01:00,23:28:00,23:12:00,23.3,tree/log/bush (lower than 1m),23.4,Hyla versicolor,adult,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,90
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,22:59:00,23:29:00,23:16:00,21.5,wet ground,21.7,Rana clamitans,adult,female,BdSwab00114,NA,NA,BacSwab00114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,91
myah madril,2022-06-14T00:00:00Z,tuttle pond,23:01:00,23:28:00,23:17:00,24.4,water,24.5,Rana clamitans,adult,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,92
emily jolly,2022-06-14T00:00:00Z,tuttle pond,23:01:00,23:28:00,23:19:00,23.8,water,NA,Rana catesbeiana,adult,female,BDSwab00096,NA,NA,BacSwab00096,NA,NA,NA,NA,NA,NA,NA,NA,NA,ToeClip00024,NA,night,capture,93
emily jolly,2022-06-14T00:00:00Z,tuttle pond,23:01:00,23:28:00,23:25:00,23.7,tree/log/bush (lower than 1m),23.8,Rana catesbeiana,adult,female,BDSwab00102,NA,NA,BacSwab00102,MucBath00033,AMPBath00033,NA,NA,NA,AntiBod00033,NA,NA,NA,ToeClip00033,NA,night,capture,94
emily jolly,2022-06-15T00:00:00Z,tuttle pond,21:58:00,23:31:00,22:00:00,27.3,tree/log/bush (lower than 1m),27.8,Rana catesbeiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,95
emily jolly,2022-06-15T00:00:00Z,tuttle pond,21:58:00,23:31:00,22:11:00,28.4,tree/log/bush (higher than 1m),28.5,Hyla versicolor,adult,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,96
