observer,date,site,start_time,end_time,survey_time,detection_type,temp_surv_id
NA,2022-06-22T00:00:00Z,tryon-weber,10:55:00,12:12:00,day,capture,43
myah madril,2022-06-22T00:00:00Z,tryon-weber,10:50:00,12:12:00,day,capture,42
sydney dawson,2022-06-22T00:00:00Z,tryon-weber,10:58:00,12:12:00,day,capture,44
emily jolly,2022-06-23T00:00:00Z,tryon-weber,11:01:00,12:33:00,day,capture,46
myah madril,2022-06-23T00:00:00Z,tryon-weber,10:40:00,12:33:00,day,capture,45
brandon hoenig,2022-06-23T00:00:00Z,tryon-weber,21:47:00,22:27:00,night,capture,48
emily jolly,2022-06-23T00:00:00Z,tryon-weber,21:48:00,22:27:00,night,capture,49
brandon hoenig,2022-06-27T00:00:00Z,vorisek pond,22:34:00,23:58:00,night,capture,55
sydney dawson,2022-06-28T00:00:00Z,vorisek pond,21:41:00,NA,night,capture,58
myah madril,2022-06-28T00:00:00Z,vorisek pond,21:39:00,23:09:00,night,capture,57
brandon hoenig,2022-07-11T00:00:00Z,rv pond,22:04:00,00:04:00,night,capture,62
myah madril,2022-07-11T00:00:00Z,rv pond,22:12:00,00:04:00,night,capture,63
brandon hoenig,2022-07-12T00:00:00Z,rv pond,22:00:00,00:00:00,night,capture,65
myah madril,2022-07-12T00:00:00Z,rv pond,22:03:00,00:00:00,night,capture,66
sydney dawson,2022-07-12T00:00:00Z,rv pond,22:06:00,23:59:00,night,capture,67
NA,2022-07-12T00:00:00Z,rv pond,22:06:00,NA,night,capture,68
brandon hoenig,2022-07-18T00:00:00Z,tuttle pond,21:58:00,23:30:00,night,capture,71
myah madril,2022-07-18T00:00:00Z,tuttle pond,21:58:00,23:41:00,night,capture,72
sydney dawson,2022-07-18T00:00:00Z,tuttle pond,21:58:00,NA,night,capture,74
NA,2022-07-18T00:00:00Z,tuttle pond,21:58:00,23:42:00,night,capture,73
myah madril,2022-07-19T00:00:00Z,tuttle pond,21:31:00,22:36:00,night,capture,76
brandon hoenig,2022-07-19T00:00:00Z,tuttle pond,21:31:00,22:37:00,night,capture,77
sydney dawson,2022-07-19T00:00:00Z,tuttle pond,21:36:00,22:04:00,night,capture,79
NA,2022-07-19T00:00:00Z,tuttle pond,21:35:00,22:07:00,night,capture,78
NA,2022-06-07T00:00:00Z,rv pond,NA,NA,NA,capture,22
NA,2022-06-14T00:00:00Z,tuttle pond,NA,NA,NA,capture,34
NA,2022-06-16T00:00:00Z,tuttle pond,NA,NA,NA,capture,40
NA,2022-06-23T00:00:00Z,tryon-weber,NA,NA,NA,capture,50
NA,2022-06-27T00:00:00Z,vorisek pond,NA,NA,NA,capture,56
NA,2022-07-11T00:00:00Z,rv pond,NA,NA,NA,capture,64
NA,2022-07-18T00:00:00Z,tuttle pond,NA,NA,NA,capture,75
NA,2022-07-19T00:00:00Z,tuttle pond,NA,NA,NA,capture,80
NA,2022-05-04T00:00:00Z,wood lab pond,NA,NA,NA,capture,1
NA,2022-05-05T00:00:00Z,phelps pond,NA,NA,NA,capture,2
NA,2022-05-11T00:00:00Z,admin pond,NA,NA,NA,capture,3
NA,2022-05-12T00:00:00Z,rv pond,NA,NA,NA,capture,4
